Attribute count,Role,Background,Facetats,Eyes,Eyes Items,Form,Hats,Mouth,Hair,Neck,Hand with Items,Upper Part,Random Things,Ears,Nose,Genesis Role?,Companions,Beard,Coats,Bg Feature,mint,rank
10,Chimpion,Blue,None,Red,None,Red Gradient,Samo Hairband,Grinding,Facon Style Red,Necklace,Grey Controller Red Fur,Sac Shirt,None,None,None,None,None,None,None,None,3mbPoXZhkCExpNRx8YYVSpR9vPiBigFvtpCbtLLSN9L1,2963
10,Artist,Hippie 2,None,Blue,None,Light Brown,None,Money Joint,Yellow Beanie Light Brown Fur,None,Grey Controller Light Brown Fur,Green Poloshirt,Abstract Canvas,None,None,Yes,None,None,None,None,EDBYktojU2ViLkD2TExDJytjfQYf5LUsWxRKkp3Ebh7N,2964
12,Farmer,Lightpink,Tiny Sac,Angry,Big Solana Glasses,Choc Brown,None,Open,Long Wavy Chocbrown,None,Pink Donut Chocbrown Fur,Blue Weed Shirt,None,Golden Earring,None,None,Happy Weedy,None,None,None,6e2GxHkZY1H5sNkrgFRgBhh2oajpbNNHikYWZcN28Ba9,2965
9,Businessman,Space 1,None,Red,Green John Lennon Glasses,White,None,Laughing,Yellow Beanie White Fur,None,None,Green Shirt,None,Golden Earring,None,None,None,None,None,None,8iRjJdJs1QznAQWfmNoNkZpBTQYu8LKFS7ocUh2t7XWA,2966
10,Farmer,Glass Pastel,None,Angry,None,White,None,Money Joint,Smooth Long White,None,Banana Pipe White Fur,Violet Canna Jacket,Cannabis Plant,None,None,Yes,None,None,None,None,46fkgrZKKrkqdzo1VyYH3CGuMotXmSbrKBi2Jj7JfQ75,2967
11,Farmer,Darkblue Gradient,None,Awake Green,None,Light Brown,None,Rainbow Teeth,Red Beanie Light Brown Fur,Necklace,Brownie Light Brown Fur,Brown Hippie Top,Questionmark,None,None,None,None,Full Light Beard,None,None,Ck5dRPhYAjeyyRcL6TDevFMt8gXGyCVtboUvM6vmfoXN,2968
11,Scientist,Space 3,None,Angry,None,Choc Brown,Orange Pothat,Sad,Long Wavy Chocbrown,None,Joint Chocbrown Fur,Lab Coat Weed Tie Suit,Sciece Bong,None,None,Yes,None,None,None,None,EKf1kc14cKLUBWsH6oWpHsTYYSwduv3X5PGG8181Gmby,2969
9,Artist,Matrix,None,Red,Laser Eyes,White,None,Smoking Joint,Yellow Beanie White Fur,None,Joint White Fur,420 Da Vinci Tee,None,None,None,None,None,None,None,None,ExRpM3ZVMwA9H6X1kooRRpiPzm1jPeDUbj2Qq8obaRva,2970
10,Chimpion,Blue,None,Black,420 Googles,Rainbow,Grey Headphones,Biting,Smooth Long Rainbow,None,Brownie Rainbow Fur,Green Poloshirt,None,None,None,None,None,None,None,None,FEBX6yae6Q81oZdjW4rCBtjSpUfNmg8oi2WNPsMvUtZo,2971
10,Chimpion,Yellow,None,Sad,None,White,None,Mask Brown,Long Wavy White,Weed Chain,Pink Donut White Fur,Pink Canna Jacket,Questionmark,None,None,None,None,None,None,None,GjH2H37J4GUXSCkjhGcWxkbctnEVXUrVXWvtkdZV8Zn6,2972
11,Scientist,Light Solana Gradient,None,Sad,None,White,None,Sad,Yellow Beanie White Fur,Hippie Necklace,Pink Donut White Fur,Lab Coat Solana Tie Suit,Sciece Bong,None,None,Yes,None,None,None,None,4tZ7C5Vpfr8hxCK1MHzohUJcCg68Uownxxf48DehMPU9,2973
12,Businessman,Violet,Always Stoned,Red,None,White,Red Beret,Gentle Smile,Long Wavy White,Hippie Necklace,Banana Pipe White Fur,Beige Business Suit With Tie,None,None,None,Yes,None,None,None,None,DUA5uXoWufuruQrB8Y5bbn3smBXnMPRe25f1ktQLcHTS,2974
10,Artist,Lightpink,None,Awake Black,None,Red Gradient,Green Beret,Rainbow Teeth,None,None,Graffiti Spray Can Red Top Red Fur,Brown Hippie Top,Abstract Canvas,None,None,Yes,None,None,None,None,GxGQbmf7sbGP2KZZfuN2LhQH7rKaGg7hn2L4RNzAqmR9,2975
9,Chimpion,Space 2,None,Awake Green,None,Rainbow,Solana Headphones,Eating Pizza,Smooth Long Rainbow,None,Brownie Rainbow Fur,Just Hit It Hoodie,None,None,None,None,None,None,None,None,D79By3fUHsieoLwojnE87YwVkVkmEhkHBTJsP5zh4F8j,2976
10,Scientist,Blue Gradient,None,Red,Green Laser,Dark Blonde,None,Gold Teeth,Smooth Long Dark Blonde,None,None,Lab Coat Jamaica Tie Suit,None,None,Nose Piercing,Yes,None,None,None,None,EXXbgtPpPBy4mrVRjvH3Vc2fBd8fUHRbxKC3FjdhE18T,2977
9,Artist,Green Gradient,None,Sad,Tear,White,None,Smoking Joint,Yellow Beanie White Fur,None,Poker Cards White Fur,Green Poloshirt,None,None,None,None,None,None,None,None,AeeKS7rmobF5YbmVPRWegfQu8kuPmvdhU5NA73wNmC5C,2978
11,Businessman,Blue Gradient,Tiny Sac,Sad,None,Red Gradient,Dark Grey Headphones,Gentle Smile,None,None,Metal Controller Red Fur,Business Suit With Red Tie,Pin On Suit,None,None,Yes,None,None,None,None,E8HNxUNfThFA6Re6myGL7JZZWdP3sRgZTLgNb9DFFQVe,2979
11,Chimpion,Light Solana Gradient,None,Awake Black,None,Rainbow,Green Beret,Money Joint,Smooth Long Rainbow,None,Poker Cards Rainbow Fur,Red Puff Puff Hoodie,None,Double Piercing,None,None,Serious Weedy,None,None,None,2L8kNJRBTXLRdhhh2CGeGYPyTcXR9Y3qHcM7ZwmKgct5,2980
12,Businessman,Lightbrown,None,Black,Laser Eyes,Light Brown,None,Puffin,Long Wavy Light Brown,Weed Chain,Green Donut Light Brown Fur,White Hodl Tee,Questionmark,Double Piercing,None,None,None,None,None,None,9fiThCrXbT1EpzhgfR6vzjjt4h66nGgnVRU1FAHg6rBq,2981
11,Farmer,Green Smoke,None,Red,None,White,Dark Grey Headphones,Grinding,Smooth Long White,None,Pink Donut White Fur,Brown Hippie Top,Questionmark,None,Nose Piercing,None,None,None,None,None,AEaWAkmJ9WMYhEDFbHDdbEfbntsenGb6TxGcHqVUE3fK,2982
10,Scientist,Space 4,None,Sad,None,Rainbow,Blue Beret,Money Joint,None,None,Metal Controller Rainbow Fur,Lab Coat Solana Tie Suit,Sciece Bong,None,None,Yes,None,None,None,None,6taiSJERtPWB2U1tU5WKp1vtddcCaJBhUFrCE89EGFzW,2983
9,Chimpion,Blue Gradient,Tiny Sac,Red,None,Choc Brown,Samo Hairband,Puffin,Facon Style Chocbrown,None,None,Pink Canna Jacket,None,None,None,None,None,None,None,None,5xm6z7zPyvjb7xsezbAiJnqX77ck86SUWSWtSNhjQTb3,2984
13,Scientist,Blue,None,Red,420 Googles,White,Pothat,Smoking Joint,Long Wavy White,None,Joint White Fur,Lab Coat Weed Tie Suit,Sciece Bong,None,Nose Piercing,Yes,None,None,None,None,9KUPpEamaLTn125nqbqQChyaKrkoAU1X7UgS7VcBVn3e,2985
8,Chimpion,Hippie 3,None,Awake Green,None,White,None,Grinding,Blue Beanie White Fur,None,Joint White Fur,Blue Puff Puff Hoodie,None,None,None,None,None,None,None,None,CuNwUqVMaTzJwn49SF9vxyASryovBCkk8KTFhsoK2WYz,2986
13,Businessman,Blue,None,Red,Green John Lennon Glasses,White,None,Open,Long Wavy White,Hippie Necklace,Brownie & Joint White Fur,Beige Business Suit With Tie,Pin On Suit,Double Piercing,None,Yes,None,None,None,None,GihQY5uts8fgyjihgNwkHVrB96rvARhV6xzwySkDR41A,2987
10,Farmer,Brown Plain,None,Red,None,Dark Blonde,None,Open,Blue Beanie Dark Blonde Fur,None,None,Striped Shirt With Color Splashes,Cannabis Plant,Golden Earring,None,Yes,None,None,None,None,8D3q6HUM7FuDQJHJZdKthUcqiMTimowCdXFuYsBN5nfH,2988
13,Farmer,Blue,None,Black,Green John Lennon Glasses,Choc Brown,Blue Beret,Eating Pizza,Long Wavy Chocbrown,None,Pink Donut Chocbrown Fur,Pink Canna Jacket,Cannabis Plant,None,Nose Piercing,Yes,None,None,None,None,BeniBEyF5MNhzmY5QoiCBFW2SrEuBS2bGNFELu2wwtG8,2989
10,Scientist,Light Solana Gradient,None,Sad,None,Choc Brown,None,Open,Backstreetboy Style Chocbrown,None,Pink Donut Chocbrown Fur,Striped Shirt With Color Splashes,Questionmark,Double Piercing,None,None,None,None,None,None,21nQKQcCya9hFBRMrhNS2SK2bNaFe4gMjWpvjmGdQXbJ,2990
10,Artist,Glass Pastel,None,Sad,Tear,Choc Brown,Beige Flat Cap,Banana Joint,Smooth Long Chocbrown,None,None,Pink Canna Jacket,None,Double Piercing,None,None,None,None,None,None,CgbQW8iAqCW5cCroewviRbykeCwqivBHTVFLvTJYd3n7,2991
10,Chimpion,Space 2,None,Blue,None,White,Solana Headphones,Gentle Smile,Long Wavy White,Hippie Necklace,Banana Pipe White Fur,Green Poloshirt,None,None,None,None,None,None,None,None,5PPSha1Z6XbgZF3jEhmjerc4kxE6vQh7BFKPoF3cp7Dr,2992
8,Scientist,Street Graffiti,None,Blue,None,Light Blonde,None,Money Joint,None,Hippie Necklace,Poker Cards Light Blonde Fur,White Hodl Tee,None,None,None,None,None,None,None,None,6W6kh2rwnJC3nzrMaqK4WiBH6CSaVaPtaewmLVc5q2Fr,2993
11,Farmer,Hippie 2,Tiny Sac,Awake Green,None,Dark Blonde,None,Puffin,Yellow Beanie Dark Blonde Fur,Hippie Necklace,None,Sac Shirt,Cannabis Plant,None,None,Yes,None,None,None,None,A3deHBPEKggTPPhGYCvZiCLdkc1s6DFboEE7rwWMj1NW,2994
10,Businessman,Matrix,None,Angry,None,Light Brown,None,Biting,Red Beanie Light Brown Fur,None,Pink Donut Light Brown Fur,Business Suit With Red Tie,Pin On Suit,None,None,Yes,None,None,None,None,HVtQ9BMQhwguaK3GvDWjyxWAYU8STdEkboN9JwVYzSzF,2995
9,Scientist,Space 3,None,Sad,420 Googles,Dark Blonde,Solana Astro Helmet,Puffin,Long Wavy Dark Blonde,None,None,Yellow Poloshirt,None,None,None,None,None,None,None,None,5STjhGjHg4NQ3umRzHn8aNnK3tZcvkqZwqHYjWucNJbM,2996
10,Scientist,Space 3,None,Blue,Tear,Choc Brown,Brown Flat Cap,Biting,Smooth Long Chocbrown,None,Pink Donut Chocbrown Fur,Yellow Poloshirt,None,None,None,None,None,None,None,None,Fiz7p19Qt7EAgH2cweXhNMapirVKMUge9EXJRJURJG2,2997
8,Farmer,Lightbrown,None,Red,None,White,None,Money Joint,None,Weed Chain,Banana Pipe White Fur,Pink Hippie Top,None,None,None,None,None,None,None,None,8u8Vf67tubpUoh4BzPDmPGs7i7F6CTNhkRBi5hJPXy25,2998
11,Scientist,Lightbrown,Tiny Sac,Angry,None,Rainbow,Solana Headphones,Banana Joint,None,None,Grey Controller Rainbow Fur,Lab Coat Red Tee,Sciece Bong,None,None,Yes,None,None,None,None,GetGTm6GTmnnDCNGbK6dhQ4voUfdLMVSJsP7g5tgK3SR,2999
9,Artist,Darkblue Gradient,None,Red,Laser Eyes,Red Gradient,Green Flat Cap,Grinding,Smooth Long Red,None,None,Red Puff Puff Hoodie,None,None,None,None,None,None,None,None,5GvtoUJ91BML2V2qyfsmyimDdY6zFSHn9zJbQybh7rgu,3000
10,Artist,Brown Plain,None,Red,Green Glasses,Light Blonde,None,Open,Long Wavy Light Blonde,None,Graffiti Spray Can Blue Top Light Blonde Fur,Yellow Poloshirt,None,None,None,Yes,None,None,None,None,BfdexMPdGbU3paVZSKSmsgURYHdhbp1GUXVUHC2ih5Pd,3001
9,Chimpion,Yellow,None,Angry,Green Laser,Red Gradient,None,Sad,Smooth Long Red,None,None,Green Shirt,None,None,Nose Piercing,None,None,None,None,None,AWnaVcubC6gTQuwCzRHYYi5er424LLeJ931erbGVkJ35,3002
8,Chimpion,Lightpink,None,Blue,None,Light Blonde,None,Grinding,Blue Beanie Light Blonde Fur,None,Poker Cards Light Blonde Fur,Red Puff Puff Hoodie,None,None,None,None,None,None,None,None,5u1hAtkj2i1UghXZ7eyBsAKcfDSeZVTbmZKGXoH855WC,3003
9,Businessman,Lightpink,None,Sad,None,White,None,Puffin,Backstreetboy Style White,None,None,Black Business Suit With Bow Tie & Hat,None,None,Nose Piercing,Yes,None,None,None,None,722X7ZmKZKaXGYoFfCzsAzHTNM3MksFaM8jue975Zeah,3004
11,Chimpion,Brown Plain,None,Awake Black,None,Rainbow,None,Grinding,Long Wavy Rainbow,Necklace,Poker Cards Rainbow Fur,Green Shirt,Questionmark,None,None,None,Happy Weedy,None,None,None,G2GtVGwm2ef9M2f8WSn3Vg42YpRPd63afN6tbLTtNkyS,3005
10,Chimpion,Violet,Always Stoned,Black,Bright Bue Eyes,Dark Blonde,Blue Beret,Laughing,Long Wavy Dark Blonde,None,None,Violet Canna Jacket,None,None,None,None,None,None,None,None,58rNmo7coCyvvdMxZvQmUwPU4pn47gL9b44sf1y2w5Lf,3006
12,Artist,Blue Gradient,Tiny Sac,Red,None,Light Brown,None,Biting,None,Necklace,Banana Pipe Light Brown Fur,White Hodl Tee,Abstract Canvas,Golden Earring,None,Yes,None,None,None,None,82Kx961JiqjJdqRQCNXkjGH1mWaVcgfQnRRCEPa6sTu4,3007
9,Chimpion,Glass Pastel,Always Stoned,Red,None,Light Blonde,None,Open,Blue Beanie Light Blonde Fur,None,Pink Donut Light Blonde Fur,Red Puff Puff Hoodie,None,None,None,None,None,None,None,None,8hmHisM6H19JeDG3YDsmuwHaoxeqbqVUppneNPcWRWWz,3008
9,Businessman,Green Smoke,None,Blue,None,Dark Blonde,None,Money Joint,Pink Beanie Dark Blonde Fur,None,None,Business Suit With Red Tie,None,None,None,Yes,Happy Weedy,None,None,None,8pummyMMF1QqMwKhFb4ihC81H7cGif5MUdJvYbCgEVUo,3009
9,Businessman,Brown Plain,None,Red,None,Light Blonde,Beige Flat Cap,Grinding,Smooth Long Light Blonde,None,Pink Donut Light Blonde Fur,Green Poloshirt,None,None,None,None,None,None,None,None,5nXi5Tf4X6ng4V1op97YoDQzPAcNSVFrGbKmJtnZoTtz,3010
10,Farmer,Light Solana Gradient,None,Black,None,Rainbow,None,Gold Teeth,Long Wavy Rainbow,None,Brownie Rainbow Fur,Hawaiian Shirt,Cannabis Plant,None,None,Yes,None,None,None,None,FJ3nnz4RmBMkzr9XP6PerjCqRanyK2GVwkncbd5d43ki,3011
11,Chimpion,Lightbrown,None,Awake Black,None,Light Brown,None,Sad,Smooth Long Light Brown,None,Green Donut Light Brown Fur,Blue Puff Puff Hoodie,Questionmark,Golden Earring,Nose Piercing,None,None,None,None,None,GB6NK64R5D2jozePPQes97ahPjFGP3Xjt6cWFNuXYSoX,3012
10,Farmer,Blue,None,Awake Green,None,White,Grey Headphones,Smoking Joint,Long Wavy White,Hippie Necklace,Brownie & Joint White Fur,Hawaiian Shirt,None,None,None,None,None,None,None,None,9RumdiDnaEDU7fTe8JsYygpNDHkgEfUbaZA1h16iQADz,3013
7,Chimpion,Hippie 3,None,Awake Green,None,Dark Blonde,None,Eating Fries,None,Hippie Necklace,None,Just Hit It Hoodie,None,None,None,None,None,None,None,None,AFEtAydQkERUWgdFoa8CAUs9tn6qAguomCWfDV5AuMgu,3014
9,Chimpion,Blue,None,Angry,None,White,None,Puffin,None,None,Brownie & Joint White Fur,Sac Shirt,Questionmark,Leaf Behind Ear,None,None,None,None,None,None,HJj4AAitRkYc1odzAV4e5V8eXbfWrY3UjyVqtJyQKifP,3015
10,Chimpion,Lightpink,Always Stoned,Angry,None,Dark Blonde,None,Grinding,Long Wavy Dark Blonde,Weed Chain,None,Violet Canna Jacket,None,Leaf Behind Ear,None,None,None,None,None,None,F1VA6Y4nqoZvN7ib7gWprVUY2ruVf9NntJnmtjbW94Mj,3016
9,Scientist,Violet,Always Stoned,Awake Green,None,Light Brown,None,Mask Brown,None,None,Poker Cards Light Brown Fur,Yellow Poloshirt,Questionmark,None,None,None,None,None,None,None,9bQJt7gm4qYfHgTcM2FR2D9P7DxdKnAnjYmKo9LPSiKy,3017
10,Chimpion,Darkblue Gradient,None,Red,None,Dark Blonde,None,Open,Blue Beanie Dark Blonde Fur,None,None,Red Puff Puff Hoodie,Questionmark,None,Nose Piercing,None,Weedy With Glasses,None,None,None,BDMecsnGdqY5jCyvyDdtiBNCvXfupPwjSdHE7S3unfYi,3018
8,Artist,Space 1,None,Black,None,Dark Blonde,None,Grinding,Pink Beanie Dark Blonde Fur,None,None,Hawaiian Shirt,None,None,Nose Piercing,None,None,None,None,None,GyHAwvKfDFnD9Wr2x2twXSkERzybiqvuaKF1srfLDxRJ,3019
9,Chimpion,Blue,None,Red,None,White,None,Eating Fries,Yellow Beanie White Fur,Necklace,Banana Pipe White Fur,Brown Hippie Top,None,None,None,None,None,None,None,None,6UaYkyYadFaGDiiA991xxcuixTTyZCicwLeWUCUnxjZi,3020
10,Chimpion,Space 2,None,Red,None,White,Green Beret,Gentle Smile,Smooth Long White,None,Brownie & Joint White Fur,Just Smoke It Tee,None,Golden Earring,None,None,None,None,None,None,6LswnLZFXVQw9MSMXzLvxNKhMw6f7FUX2UnVUPqtfzr2,3021
11,Artist,Space 3,None,Red,None,Red Gradient,Red Beret,Eating Pizza,None,None,Poker Cards Red Fur,Brown Hippie Top,Abstract Canvas,None,None,Yes,None,Full Light Beard,None,None,RQRGthfCMB9EThycvtsXZgJfqFxhfQbzBySAn7P69zG,3022
12,Artist,Lightbrown,None,Blue,Red John Lennon Glasses,Dark Blonde,None,Gentle Smile,Yellow Beanie Dark Blonde Fur,None,None,Green Poloshirt,Abstract Canvas,Golden Earring,Nose Piercing,Yes,None,None,None,None,9nYu4e8eyLy6qtyvBnWeoCpHod3sQDHGxHzHgd1FqbsS,3023
11,Scientist,Yellow,Tiny Sac,Black,Green-orange Glasses,Rainbow,None,Rainbow Teeth,None,None,Grey Controller Rainbow Fur,Lab Coat Weed Tie Suit,Sciece Bong,None,None,Yes,None,None,None,None,D9AcLGeup2jNhQWUnkpBSxJX2bMGtZEiFDqCA3f4NiK5,3024
10,Chimpion,Blue,None,Red,None,Light Brown,None,Open,Yellow Beanie Light Brown Fur,None,Green Donut Light Brown Fur,Violet Canna Jacket,Questionmark,Golden Earring,None,None,None,None,None,None,5rmrffM63L7Urt8eb3E56fVgD5mgBEkJtuWGs2ruRJJ2,3025
10,Scientist,Violet,None,Awake Black,None,White,None,Smoking Joint,Backstreetboy Style White,None,Brownie & Joint White Fur,Lab Coat Red Tee,None,Golden Earring,None,Yes,None,None,None,None,3izC8zFVdvbswRZ2y9NMPyumHbKuhWHaDVaTgqEJBNEg,3026
9,Businessman,Brown Plain,Solana,Awake Black,None,White,None,Open,None,None,Joint White Fur,Black Business Suit With Bow Tie & Hat,None,None,None,Yes,None,None,None,None,5VxDocySyPPqJvDQsXqKk11VjkQGmuka59wsSJFzsXET,3027
10,Scientist,Light Solana Gradient,None,Black,Flashing Eyes,White,None,Banana Joint,Backstreetboy Style White,Weed Chain,Brownie & Joint White Fur,Red Puff Puff Hoodie,None,None,None,None,None,None,None,None,HA2HkXmQE5YcMkionEad3eyaUfmLXQ6gXLckWDLPvZZ,3028
9,Businessman,Darkblue Gradient,None,Sad,None,Light Brown,None,Rainbow Teeth,Long Wavy Light Brown,None,Joint Light Brown Fur,Hawaiian Shirt,Questionmark,None,None,None,None,None,None,None,2j2oHfzDmREHchxuuhNhQaC4iftEJHC6cFf9gjZm57Eu,3029
11,Artist,Glass Pastel,Always Stoned,Awake Black,420 Googles,Rainbow,Dark Grey Headphones,Puffin,None,Weed Chain,Poker Cards Rainbow Fur,Green Funky Tee,None,None,None,None,None,None,None,None,71oi7HLzcFcDjC5NfTYm3vs2RvbehrupRzjrJyshiWzZ,3030
10,Chimpion,Space 2,None,Red,None,Red Gradient,Weed Hairband,Rolled Joint,Facon Style Red,Necklace,None,Violet Canna Jacket,Questionmark,None,None,None,None,None,None,None,ChANfqf7AP9x1rFRjZkE6n19u3tQckv65Z6r6xPqkRKR,3031
12,Farmer,Green Smoke,Always Stoned,Awake Green,Gold Monocle,Dark Blonde,None,Biting,Long Wavy Dark Blonde,Necklace,None,Green Funky Tee,Cannabis Plant,None,None,Yes,None,None,None,None,EvpvvV95YeBepZCrUGek2kxN91Ui1qitT8E8RL4cvAzB,3032
10,Farmer,Solana,None,Blue,None,Red Gradient,Solana Headphones,Rainbow Teeth,None,None,Grey Controller Red Fur,Violet Canna Jacket,Questionmark,None,None,None,None,Full Light Beard,None,None,38DSNkZxmLwpZ9ksuwWyZRQ6N8Qhcto6EQnxipkHpjBc,3033
8,Chimpion,Space 2,None,Awake Green,None,Light Brown,None,Gentle Smile,Red Beanie Light Brown Fur,None,None,Green Funky Tee,None,None,None,None,Weedy With Glasses,None,None,None,6jZ2ubrN7LTYv4WwSwLf15WN9cp4derz8yWDSHFVvjcN,3034
10,Scientist,Hippie 1,None,Blue,None,Dark Blonde,Blue Beret,Rolled Joint,Long Wavy Dark Blonde,Necklace,None,Lab Coat Jamaica Tee,None,None,None,Yes,None,None,None,None,9dVjQ1PnpiSb8bLrGdqDeAUJ7N3EBFq6kAcD6dsXJiBc,3035
9,Businessman,Yellow,None,Awake Green,None,Light Brown,Brown Flat Cap,Puffin,Smooth Long Light Brown,None,Grey Controller Light Brown Fur,Blue Puff Puff Hoodie,None,None,None,None,None,None,None,None,C5J5JCzY3WvHUykANNt1H7Lthev9Ts4RZcLm5w68notU,3036
10,Chimpion,Green Gradient,Tiny Sac,Red,None,Dark Blonde,None,Smoking Joint,Yellow Beanie Dark Blonde Fur,Weed Chain,None,Green Poloshirt,Questionmark,None,None,None,None,None,None,None,DE2waqTwkntynLpwxqJ9kpvyRQEoNYBcdn3X5xJQ8M7s,3037
9,Scientist,Glass Pastel,None,Black,Red John Lennon Glasses,Dark Blonde,Grey Headphones,Biting,Long Wavy Dark Blonde,None,None,Pink Hippie Top,None,None,None,None,None,None,None,None,FYA7DqW3d3peejjaTYBERshUZrKr4JxZkR2NQ4RSMbbE,3038
11,Chimpion,Glass Pastel,None,Angry,Gold Monocle,White,Dark Grey Headphones,Rolled Joint,Long Wavy White,None,Pink Donut White Fur,Red Puff Puff Hoodie,Questionmark,None,None,None,None,None,None,None,7Ht7pMoLxXkN3mDjji3ZnGtvpyoWCRix8SQACU5MwZrS,3039
10,Artist,Brown Plain,None,Red,None,Light Brown,None,Laughing,None,Weed Chain,Banana Pipe Light Brown Fur,Striped Shirt With Color Splashes,Questionmark,None,Nose Piercing,None,None,None,None,None,82EgqotQjjBGxVcF6qL7nQQ4VT18RACSDfMWzqNqcpXs,3040
11,Artist,Matrix,None,Angry,None,Rainbow,Blue Beret,Rainbow Teeth,Smooth Long Rainbow,Necklace,Pink Donut Rainbow Fur,Blue Legalize Hoodie,None,Golden Earring,None,None,None,None,None,None,9GAShRJxikgViQ98E5pyjPkaMBWuxWAv3goBG2cXMqvT,3041
13,Artist,Blue Gradient,None,Awake Green,420 Googles,Choc Brown,Orange Pothat,Grinding,Long Wavy Chocbrown,None,Brownie Chocbrown Fur,Green Funky Tee,Abstract Canvas,Double Piercing,None,Yes,None,None,None,None,132CFB63EoRUDgS1UegkN3TqgMkdwrk2f5abx7bY2XEA,3042
11,Artist,Blue,None,Red,None,Light Blonde,None,Biting,Long Wavy Light Blonde,None,Banana Pipe Light Blonde Fur,Red Puff Puff Hoodie,Abstract Canvas,Double Piercing,None,Yes,None,None,None,None,2LoPk1ZGZhUMKsRvjWF7sNZqmeeAVwXeQneUbnENhvz1,3043
8,Chimpion,Space 1,None,Angry,Gold Monocle,Red Gradient,None,Puffin,None,None,Metal Controller Red Fur,Sac Shirt,None,None,None,None,None,None,None,None,9UqRqJA2QxJemQi4AFPSoUjKhPUq7w2SriNPmfazzLkw,3044
10,Artist,Lightbrown,None,Red,None,Dark Blonde,Beige Flat Cap,Eating Fries,Smooth Long Dark Blonde,None,None,Green Funky Tee,Abstract Canvas,None,None,Yes,None,None,None,None,5x6rySM2P3WVbyffkXauajmMJbBskghL2bgEEpSvFm5Y,3045
10,Farmer,Darkblue Gradient,Tiny Sac,Red,420 Googles,Rainbow,Pothat,Eating Fries,None,None,None,420 Da Vinci Tee,None,Double Piercing,None,None,None,None,None,None,79keqVggBzrm6ZQ5WY7hm9ee9roTyyAxo2zgpTDxnL2o,3046
11,Farmer,Space 4,None,Black,None,Rainbow,None,Angry Mouth,Long Wavy Rainbow,None,Poker Cards Rainbow Fur,Red Puff Puff Hoodie,Cannabis Plant,Golden Earring,None,Yes,None,None,None,None,CnAf6Pn2XGBYETsLMPypAhvchu2DR3HzaoQUFSFTbdLc,3047
12,Scientist,Glass Pastel,None,Black,Tear,Rainbow,Blue Beret,Money Joint,Long Wavy Rainbow,None,Pink Donut Rainbow Fur,Lab Coat Jamaica Tie Suit,Sciece Bong,None,None,Yes,None,None,None,None,FXCngEaaqWkRGNSvh3gpwQKVTDkfmTsZvpvwZNz79Vd1,3048
12,Businessman,Yellow,Tiny Sac,Blue,Green Hipster Glasses,White,Green Beret,Rainbow Teeth,Long Wavy White,None,Joint White Fur,Business Suit With Red Tie,None,None,None,Yes,None,None,None,None,J3uT5Pr4YpZn9YrZf22G5ZY4V4FQ7JYfRGnbesjavukk,3049
9,Scientist,Darkblue Gradient,None,Red,None,Red Gradient,None,Eating Fries,None,None,Metal Controller Red Fur,Lab Coat Weed Tie Suit,Sciece Bong,None,None,Yes,None,None,None,None,34xoEEU1Nuia6XQp8PVFTV1LwBX78ojLSogF9owkTvQ3,3050
11,Businessman,Brown Plain,None,Angry,Green-orange Glasses,Red Gradient,Pothat,Gentle Smile,None,Necklace,Metal Controller Red Fur,Sac Shirt,Questionmark,None,None,None,None,None,None,None,5pLGnTuPM1cCiwn2wjD6Fn1beBCs4zKWQUXNQC96gfDa,3051
10,Farmer,Blue,None,Red,None,White,None,Grinding,Long Wavy White,None,Watering Can White Fur,Hawaiian Shirt,None,Golden Earring,None,Yes,None,None,None,None,FBfTsurcacyy9mD9EBeT18sYgYMEbUoKP6nMNc1G5dBY,3052
8,Businessman,Street Graffiti,None,Awake Black,None,Dark Blonde,None,Eating Pizza,Long Wavy Dark Blonde,None,None,Green Shirt,Questionmark,None,None,None,None,None,None,None,GSWzNoMcdrbvoqRJFwc65PeszVTM3hevQC7uyK3hB65g,3053
8,Scientist,Matrix,None,Red,None,Dark Blonde,Solana Headphones,Laughing,None,None,None,Lab Coat Atom Tie Suit,None,None,None,Yes,None,None,None,None,3jQep8gzPLp5zy1hbPePhNezv16kFEsQrRpsLtDmEcic,3054
11,Chimpion,Matrix,None,Red,None,White,Pothat,Puffin,None,Weed Chain,Poker Cards White Fur,Striped Shirt With Color Splashes,Questionmark,None,None,None,None,Full Light Beard,None,None,DZVAFCXQ49G37dR9HQTr4SkKt68EnM3MzgXj4o16Dbsw,3055
10,Chimpion,Hippie 2,None,Red,None,White,Green Beret,Money Joint,Long Wavy White,None,Brownie & Joint White Fur,Weed Shirt,None,Golden Earring,None,None,None,None,None,None,4rXFUkPt18n3GQNkZQQoD72kd7gzgkGewRv8XLp7Y14i,3056
9,Chimpion,Hippie 1,None,Red,Tear,Light Blonde,None,Grinding,Long Wavy Light Blonde,None,Pink Donut Light Blonde Fur,Green Funky Tee,None,None,None,None,None,None,None,None,GZ6qs7n6RSvTuj87wTp3Lvx6j8p1EV8Bo7PLEuq59T8V,3057
10,Chimpion,Darkblue Gradient,Tiny Sac,Blue,Laser Eyes,Light Brown,Blue Beret,Money Joint,None,None,Poker Cards Light Brown Fur,Orange Poloshirt,None,None,None,None,None,None,None,None,bgQ8SpM7dVuVjk6q8tNGS636LQbAdXugt8YJn1afYRH,3058
